Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Microsoft,MSFT,"$3,278,093",NASDAQ,United States,Computer and Technology,Computer Software
Apple,AAPL,"$3,267,233",NASDAQ,United States,Computer and Technology,Computers - Minicomputers
NVIDIA,NVDA,"$3,079,920",NASDAQ,United States,Computer and Technology,Semiconductor - General
Alphabet,GOOG,"$2,219,003",NASDAQ,United States,Computer and Technology,Internet Services
Alphabet,GOOGL,"$2,197,129",NASDAQ,United States,Computer and Technology,Internet Services
Amazon,AMZN,"$1,944,895",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Meta Platforms,META,"$1,290,690",NASDAQ,United States,Computer and Technology,Internet Software
Taiwan Semiconductor Manufacturing,TSM,"$897,146",NYSE,Taiwan,Computer and Technology,Semiconductor - Fabrication Foundries
Berkshire Hathaway,BRK.A,"$884,480",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Berkshire Hathaway,BRK.B,"$880,978",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Eli Lilly,LLY,"$824,287",NYSE,United States,Medical,Large Cap Pharmaceutical
Broadcom,AVGO,"$693,051",NASDAQ,United States,Computer and Technology,Semiconductors
Novo Nordisk,NVO,"$642,884",NYSE,Denmark,Medical,Large Cap Pharmaceutical
Tesla,TSLA,"$565,413",NASDAQ,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
JPMorgan Chase,JPM,"$550,011",NYSE,United States,Finance,Banks - Major Regional
Walmart,WMT,"$533,367",NYSE,United States,Retail/Wholesale,Retail - Supermarket Chains
Visa,V,"$494,399",NYSE,United States,Business Services,Financial Transaction Services
UnitedHealth Group,UNH,"$453,814",NYSE,United States,Medical,Medical - Health Maintenance Organizations
Exxon,XOM,"$437,398",NYSE,United States,Oils/Energy,Oil & Gas - International Integrated
ASML Holding,ASML,"$421,761",NASDAQ,Netherlands,Computer and Technology,Semiconductor - Wafer Fabrication Equipment
Mastercard,MA,"$411,820",NYSE,United States,Business Services,Financial Transaction Services
Procter & Gamble,PG,"$389,847",NYSE,United States,Consumer Staples,Soap and Cleaning Preparations
Oracle,ORCL,"$385,834",NYSE,United States,Computer and Technology,Computer Software
Costco,COST,"$375,864",NASDAQ,United States,Retail/Wholesale,Retail - Discount & Variety
Johnson & Johnson,JNJ,"$349,955",NYSE,United States,Medical,Large Cap Pharmaceutical
Home Depot,HD,"$341,254",NYSE,United States,Retail/Wholesale,Building Products - Retail & Wholesale
Merck,MRK,"$329,771",NYSE,United States,Medical,Large Cap Pharmaceutical
Bank Of America,BAC,"$308,201",NYSE,United States,Finance,Banks - Major Regional
AbbVie,ABBV,"$293,293",NYSE,United States,Medical,Large Cap Pharmaceutical
Chevron,CVX,"$284,222",NYSE,United States,Oils/Energy,Oil & Gas - International Integrated
Netflix,NFLX,"$280,176",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Toyota,TM,"$277,096",NYSE,Japan,Auto/Tires/Trucks,Auto Manufacturers - Foreign
CocaCola,KO,"$270,884",NYSE,United States,Consumer Staples,Beverages - Soft Drinks
AMD,AMD,"$258,998",NASDAQ,United States,Computer and Technology,Semiconductors
AstraZeneca,AZN,"$248,255",NASDAQ,United Kingdom,Medical,Large Cap Pharmaceutical
QUALCOMM,QCOM,"$240,375",NASDAQ,United States,Computer and Technology,Wireless Equipment Manufacturers
Salesforce,CRM,"$228,490",NYSE,United States,Computer and Technology,Computer Software
PepsiCo,PEP,"$225,231",NASDAQ,United States,Consumer Staples,Beverages - Soft Drinks
Shell,SHEL,"$223,886",NYSE,United Kingdom,Oils/Energy,Oil & Gas - International Integrated
Thermo Fisher Scientific,TMO,"$219,750",NYSE,United States,Medical,Medical Instruments Manufacturing
Novartis AG,NVS,"$215,744",NYSE,Switzerland,Medical,Large Cap Pharmaceutical
Linde,LIN,"$208,695",NASDAQ,United Kingdom,Basic Materials,Chemicals - Specialty
PDD Holdings,PDD,"$207,757",NASDAQ,Ireland,Multi-Sector Conglomerates,Diversified Operations
Adobe,ADBE,"$206,022",NASDAQ,United States,Computer and Technology,Computer Software
T-Mobile US,TMUS,"$203,657",NASDAQ,United States,Computer and Technology,Wireless - National Providers
Wells Fargo,WFC,"$199,766",NYSE,United States,Finance,Banks - Major Regional
Alibaba,BABA,"$198,027",NYSE,China,Retail/Wholesale,Internet Commerce
Applied Materials,AMAT,"$196,768",NASDAQ,United States,Computer and Technology,Semiconductor - Wafer Fabrication Equipment
Danaher,DHR,"$195,993",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
Accenture,ACN,"$191,650",NYSE,Ireland,Business Services,Consulting Services
Cisco,CSCO,"$183,795",NASDAQ,United States,Computer and Technology,Computer Networks
Disney,DIS,"$183,763",NYSE,United States,Consumer Discretionary,Media Conglomerates
McDonald's,MCD,"$183,399",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Abbott Laboratories,ABT,"$181,583",NYSE,United States,Medical,Medical Products Manufacturing
Texas Instruments,TXN,"$181,168",NASDAQ,United States,Computer and Technology,Semiconductor - General
GE Aerospace,GE,"$176,286",NYSE,United States,Transportation,Transportation - Airlines
Verizon,VZ,"$167,402",NYSE,United States,Computer and Technology,Wireless - National Providers
Intuit,INTU,"$165,553",NASDAQ,United States,Computer and Technology,Computer Software
HSBC,HSBC,"$164,552",NYSE,United Kingdom,Finance,Banks - Foreign
ARM Holdings,ARM,"$163,033",NASDAQ,United Kingdom,Business Services,Technology Services
TotalEnergies SE,TTE,"$162,291",NYSE,France,Oils/Energy,Oil Refining & Marketing
Amgen,AMGN,"$161,510",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
American Express,AXP,"$161,153",NYSE,United States,Finance,Finance - Miscellaneous Services
Caterpillar,CAT,"$160,766",NYSE,United States,Industrial Products,Construction and Mining Machinery
Philip Morris,PM,"$159,575",NYSE,United States,Consumer Staples,Tobacco Products
Pfizer,PFE,"$156,738",NYSE,United States,Medical,Large Cap Pharmaceutical
Micron Technology,MU,"$155,862",NASDAQ,United States,Computer and Technology,Semiconductor - Memory
Morgan Stanley,MS,"$155,447",NYSE,United States,Finance,Finance - Investment Banks
IBM,IBM,"$155,244",NYSE,United States,Computer and Technology,Computers - Integrated Systems
Uber Technologies,UBER,"$152,848",NYSE,United States,Computer and Technology,Internet Services
Intuitive Surgical,ISRG,"$151,847",NASDAQ,United States,Medical,Medical Instruments Manufacturing
Royal Bank Of Canada,RY,"$149,290",NYSE,Canada,Finance,Banks - Foreign
NextEra Energy,NEE,"$148,461",NYSE,United States,Utilities,Utility - Electric Power Distribution
Comcast,CMCSA,"$148,431",NASDAQ,United States,Consumer Discretionary,Cable TV Providers
ServiceNow,NOW,"$147,908",NYSE,United States,Computer and Technology,Information Technology Services
BHP Group,BHP,"$145,364",NYSE,Australia,Basic Materials,Mining - Miscellaneous
Goldman Sachs,GS,"$144,689",NYSE,United States,Finance,Finance - Investment Banks
RTX,RTX,"$141,951",NYSE,United States,Aerospace,Aerospace and Defense General
NIKE,NKE,"$141,397",NYSE,United States,Consumer Discretionary,Shoes & Related Apparel
Unilever,UL,"$140,327",NYSE,United Kingdom,Consumer Staples,Soap and Cleaning Preparations
Union Pacific,UNP,"$138,174",NYSE,United States,Transportation,Transportation - Rail
S&P Global,SPGI,"$137,754",NYSE,United States,Business Services,Business Information Services
Honeywell,HON,"$135,772",NASDAQ,United States,Multi-Sector Conglomerates,Diversified Operations
Lam Research,LRCX,"$135,661",NASDAQ,United States,Computer and Technology,Semiconductor - Wafer Fabrication Equipment
Stryker,SYK,"$131,965",NYSE,United States,Medical,Medical Products Manufacturing
Booking Holdings,BKNG,"$131,517",NASDAQ,United States,Retail/Wholesale,Internet Commerce
ConocoPhillips,COP,"$131,210",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
Intel,INTC,"$130,945",NASDAQ,United States,Computer and Technology,Semiconductor - General
Eaton,ETN,"$130,803",NYSE,Ireland,Industrial Products,Electrical Machinery
Charles Schwab,SCHW,"$130,737",NYSE,United States,Finance,Finance - Investment Banks
Lowe's,LOW,"$128,224",NYSE,United States,Retail/Wholesale,Building Products - Retail & Wholesale
Mitsubishi UFJ Financial,MUFG,"$127,819",NYSE,Japan,Finance,Banks - Foreign
AT&T,T,"$126,267",NYSE,United States,Computer and Technology,Wireless - National Providers
Elevance Health,ELV,"$123,323",NYSE,United States,Medical,Medical Services
Vertex Pharmaceuticals,VRTX,"$122,779",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Sanofi,SNY,"$122,543",NASDAQ,,Medical,Large Cap Pharmaceutical
TJX,TJX,"$121,028",NYSE,United States,Retail/Wholesale,Retail - Discount & Variety
Progressive,PGR,"$118,569",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Analog Devices,ADI,"$118,318",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
UPS,UPS,"$116,724",NYSE,United States,Transportation,Transportation - Air Freight
Citigroup,C,"$114,465",NYSE,United States,Finance,Banks - Major Regional
BlackRock,BLK,"$114,438",NYSE,United States,Finance,Finance - Investment Management
Boston Scientific,BSX,"$113,568",NYSE,United States,Medical,Medical Products Manufacturing
Regeneron Pharmaceuticals,REGN,"$113,234",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
HDFC Bank,HDB,"$112,190",NYSE,India,Finance,Banks - Foreign
Boeing,BA,"$112,138",NYSE,United States,Aerospace,Aerospace and Defense General
KLA,KLAC,"$111,456",NASDAQ,United States,Computer and Technology,Electrical Products - Miscellaneous
Lockheed Martin,LMT,"$110,158",NYSE,United States,Aerospace,Aerospace and Defense General
Medtronic,MDT,"$109,187",NYSE,Ireland,Medical,Medical Products Manufacturing
Chubb,CB,"$106,810",NYSE,Switzerland,Finance,"Property, Casualty and Title Insurance"
Anheuser-Busch,BUD,"$106,786",NYSE,Belgium,Consumer Staples,Alcoholic Beverages
Prologis,PLD,"$104,444",NYSE,United States,Finance,REIT - Other Equity Trusts
Marsh & McLennan,MMC,"$103,709",NYSE,United States,Finance,Insurance Brokers
Sony,SONY,"$103,625",NYSE,Japan,Consumer Discretionary,Audio & Video Home Production
Palo Alto Networks,PANW,"$103,548",NASDAQ,United States,Computer and Technology,Internet Software
Deere,DE,"$101,986",NYSE,United States,Industrial Products,Farm Machinery
ADP,ADP,"$100,739",NASDAQ,United States,Business Services,Outsourcing Services
BP,BP,"$99,067",NYSE,United Kingdom,Oils/Energy,Oil & Gas - International Integrated
KKR,KKR,"$98,936",NYSE,United States,Finance,Finance - Investment Management
Arista Networks,ANET,"$97,559",NYSE,United States,Computer and Technology,Communication Components Manufacturers
Toronto Dominion Bank,TD,"$97,076",NYSE,Canada,Finance,Banks - Foreign
Airbnb,ABNB,"$96,169",NASDAQ,United States,Computer and Technology,Internet Content
Cigna Group,CI,"$95,463",NYSE,United States,Medical,Medical - Health Maintenance Organizations
Dell,DELL,"$94,085",NYSE,United States,Computer and Technology,Information Technology Services
CrowdStrike,CRWD,"$93,693",NASDAQ,United States,Computer and Technology,Internet Software
ICICI Bank,IBN,"$92,980",NYSE,India,Finance,Banks - Foreign
Synopsys,SNPS,"$90,534",NASDAQ,United States,Computer and Technology,Computer Software
American Tower,AMT,"$90,509",NYSE,United States,Finance,REIT - Other Equity Trusts
Starbucks,SBUX,"$89,914",NASDAQ,United States,Retail/Wholesale,Retail - Food & Restaurants
HCA Healthcare,HCA,"$89,263",NYSE,United States,Medical,Medical - Hospitals
Mondelez,MDLZ,"$88,664",NASDAQ,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Blackstone,BX,"$88,209",NYSE,United States,Finance,Finance - Miscellaneous Services
Equinor,EQNR,"$87,539",NYSE,Norway,Oils/Energy,Oil Refining & Marketing
Chipotle Mexican Grill,CMG,"$87,091",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Fiserv,FI,"$86,607",NYSE,United States,Business Services,Financial Transaction Services
Bristol Myers Squibb,BMY,"$85,969",NYSE,United States,Medical,Medical - Biomedical and Genetics
Southern,SO,"$85,768",NYSE,United States,Utilities,Utility - Electric Power Distribution
RELX,RELX,"$85,608",NYSE,United Kingdom,Computer and Technology,Internet Content
GSK,GSK,"$85,198",NYSE,United Kingdom,Medical,Medical - Biomedical and Genetics
Sumitomo Mitsui Financial Group Inc,SMFG,"$85,170",NYSE,Japan,Finance,Banks - Foreign
Cadence Design Systems,CDNS,"$84,914",NASDAQ,United States,Computer and Technology,Computer Software
Southern Copper,SCCO,"$84,420",NYSE,United States,Basic Materials,Mining - Non-Ferrous
Shopify,SHOP,"$84,370",NYSE,Canada,Computer and Technology,Internet Services
Rio Tinto,RIO,"$84,023",NYSE,United Kingdom,Basic Materials,Mining - Miscellaneous
Amphenol,APH,"$82,511",NYSE,United States,Computer and Technology,Electrical Connectors
MercadoLibre,MELI,"$81,082",NASDAQ,Argentina,Retail/Wholesale,Internet Commerce
General Dynamics,GD,"$80,756",NYSE,United States,Aerospace,Aerospace and Defense General
Waste Management,WM,"$80,566",NYSE,United States,Business Services,Waste Removal Services
Zoetis,ZTS,"$80,240",NYSE,United States,Medical,Medical - Drug Manufacturing
Gilead Sciences,GILD,"$80,158",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Altria,MO,"$78,788",NYSE,United States,Consumer Staples,Tobacco Products
Duke Energy,DUK,"$78,196",NYSE,United States,Utilities,Utility - Electric Power Distribution
Canadian National Railway,CNI,"$78,147",NYSE,Canada,Transportation,Transportation - Rail
Intercontinental Exchange,ICE,"$78,036",NYSE,United States,Finance,Securities Exchanges
"Banco Santander, S.A",SAN,"$78,020",NYSE,Spain,Finance,Banks - Foreign
Thomson Reuters Corp,TRI,"$76,748",NYSE,Canada,Business Services,Technology Services
Colgate-Palmolive,CL,"$76,490",NYSE,United States,Consumer Staples,Soap and Cleaning Preparations
McKesson,MCK,"$76,014",NYSE,United States,Medical,Medical & Dental Supplies
Sherwin-Williams,SHW,"$75,885",NYSE,United States,Construction,Paints & Allied Products
Enbridge Inc,ENB,"$75,795",NYSE,Canada,Oils/Energy,Oil & Gas - Production and Pipelines
Canadian Natural Resources,CNQ,"$75,692",NYSE,Canada,Oils/Energy,Oil & Gas - Canadian Exploration & Production
CVS Health,CVS,"$75,310",NYSE,United States,Retail/Wholesale,Retail - Drug Stores
Moody's,MCO,"$75,242",NYSE,United States,Finance,Finance - Miscellaneous Services
Trane Technologies,TT,"$75,178",NYSE,Ireland,Business Services,Technology Services
Diageo,DEO,"$74,136",NYSE,United Kingdom,Consumer Staples,Alcoholic Beverages
Transdigm Group,TDG,"$73,984",NYSE,United States,Aerospace,Aerospace and Defense Equipment
American Noble Gas,INFY,"$73,940",NYSE,India,Computer and Technology,Information Technology Services
NXP Semiconductors,NXPI,"$72,356",NASDAQ,Netherlands,Computer and Technology,Semiconductor - Analog & Mixed
Equinix,EQIX,"$72,266",NASDAQ,United States,Finance,REIT - Retail Equity Trusts
Illinois Tool Works,ITW,"$71,559",NYSE,United States,Industrial Products,General Industrial Machinery
Canadian Pacific Kansas City,CP,"$71,310",NYSE,Canada,Transportation,Transportation - Rail
Freeport-McMoRan,FCX,"$70,573",NYSE,United States,Basic Materials,Mining - Non-Ferrous
CME Group,CME,"$70,476",NASDAQ,United States,Finance,Securities Exchanges
Cintas,CTAS,"$70,261",NASDAQ,United States,Industrial Products,Uniforms & Related Apparel
EOG Resources,EOG,"$69,500",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Ecolab,ECL,"$69,017",NYSE,United States,Basic Materials,Chemicals - Specialty
Brookfield,BN,"$68,826",NYSE,Canada,Finance,Real Estate Operations
Constellation Energy,CEG,"$68,762",NASDAQ,United States,Oils/Energy,Other Alternate Energy
Parker-Hannifin,PH,"$68,507",NYSE,United States,Industrial Products,General Industrial Machinery
British American Tobacco,BTI,"$68,464",NYSE,United Kingdom,Consumer Staples,Tobacco Products
Stellantis,STLA,"$68,076",NYSE,Netherlands,Auto/Tires/Trucks,Auto Manufacturers - Foreign
Target,TGT,"$67,906",NYSE,United States,Retail/Wholesale,Retail - Discount & Variety
Becton Dickinson,BDX,"$67,625",NYSE,United States,Medical,Medical & Dental Supplies
Marriott,MAR,"$67,567",NASDAQ,United States,Consumer Discretionary,Hotels & Motels
Apollo Global Management,APO,"$67,259",NYSE,United States,Finance,Finance - Investment Management
PayPal Holdings,PYPL,"$66,351",NASDAQ,United States,Computer and Technology,Internet Software
Aon,AON,"$64,138",NYSE,Ireland,Finance,Insurance Brokers
CSX,CSX,"$64,043",NASDAQ,United States,Transportation,Transportation - Rail
Schlumberger,SLB,"$63,906",NYSE,Netherlands,Oils/Energy,Oil & Gas - Field Services
Marvell Technology,MRVL,"$63,500",NASDAQ,United States,Business Services,Technology Services
Motorola Solutions,MSI,"$63,276",NYSE,United States,Computer and Technology,Wireless Equipment Manufacturers
Northrop Grumman,NOC,"$63,214",NYSE,United States,Aerospace,Aerospace and Defense General
Air Products And Chemicals,APD,"$62,924",NYSE,United States,Basic Materials,Chemicals - Diversified
Coinbase Global,COIN,"$62,610",NASDAQ,United States,Finance,Securities Exchanges
Emerson Electric,EMR,"$62,073",NYSE,United States,Industrial Products,Electrical Machinery
Bank Of Montreal,BMO,"$61,914",NYSE,Canada,Finance,Banks - Foreign
Enterprise Products Partners,EPD,"$61,672",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines MLP
Welltower,WELL,"$61,508",NYSE,United States,Finance,REIT - Other Equity Trusts
U.S Bancorp,USB,"$61,295",NYSE,United States,Finance,Banks - Major Regional
FedEx,FDX,"$61,176",NYSE,United States,Transportation,Transportation - Air Freight
ING Group,ING,"$60,869",NYSE,Netherlands,Finance,Banks - Foreign
PNC Financial Services,PNC,"$60,737",NYSE,United States,Finance,Banks - Major Regional
Banco Bilbao Viscaya Argentaria S.A,BBVA,"$60,430",NYSE,Spain,Finance,Banks - Foreign
Spotify Technology,SPOT,"$60,006",NYSE,Luxembourg,Business Services,Technology Services
Roper Technologies,ROP,"$59,751",NASDAQ,United States,Computer and Technology,Information Technology Services
NetEase,NTES,"$59,669",NASDAQ,China,Computer and Technology,Internet Software & Services
Marathon Petroleum,MPC,"$59,459",NYSE,United States,Oils/Energy,Oil Refining & Marketing
O'Reilly Automotive,ORLY,"$59,144",NASDAQ,United States,Retail/Wholesale,Retail & Wholesale Auto Parts
Republic Services,RSG,"$58,977",NYSE,United States,Business Services,Waste Removal Services
Bank Of Nova Scotia,BNS,"$58,208",NYSE,Canada,Finance,Banks - Foreign
Carrier Global,CARR,"$58,007",NYSE,United States,Computer and Technology,Electrical Products - Miscellaneous
Phillips 66,PSX,"$57,662",NYSE,United States,Oils/Energy,Oil Refining & Marketing
Moderna,MRNA,"$56,612",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Arthur J Gallagher,AJG,"$56,565",NYSE,United States,Finance,Insurance Brokers
3M,MMM,"$56,006",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
PACCAR,PCAR,"$55,937",NASDAQ,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Workday,WDAY,"$55,896",NASDAQ,United States,Computer and Technology,Internet Software
General Motors,GM,"$55,747",NYSE,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Nu Holdings,NU,"$55,190",NYSE,Brazil,Business Services,Technology Services
CRH,CRH,"$54,714",NYSE,Ireland,Construction,Building & Construction Products - Misc.
Occidental Petroleum,OXY,"$53,464",NYSE,United States,Oils/Energy,Oil & Gas - US Integrated
Palantir Technologies,PLTR,"$52,933",NYSE,United States,Business Services,Technology Services
Edwards Lifesciences,EW,"$52,890",NYSE,United States,Medical,Medical Instruments Manufacturing
Hilton Worldwide Holdings,HLT,"$52,687",NYSE,United States,Consumer Discretionary,Hotels & Motels
Pacific Gas & Electric,PCG,"$52,230",NYSE,United States,Utilities,Utility - Electric Power Distribution
"America Movil, S.A.B De C.V",AMX,"$52,195",NYSE,Mexico,Computer and Technology,Wireless - Non-US Providers
Energy Transfer LP,ET,"$52,168",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines MLP
Capital One Financial,COF,"$52,125",NYSE,United States,Finance,Finance - Consumer Loands
Copart,CPRT,"$51,849",NASDAQ,United States,Business Services,Auction & Valuation Services
Monster Beverage,MNST,"$51,847",NASDAQ,United States,Consumer Staples,Beverages - Soft Drinks
Interactive Brokers,IBKR,"$51,249",NASDAQ,United States,Finance,Finance - Investment Banks
Eni SpA,E,"$50,926",NYSE,Italy,Oils/Energy,Oil & Gas - International Integrated
Microchip Technology,MCHP,"$50,746",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
Williams,WMB,"$50,639",NYSE,United States,Oils/Energy,Oil & Gas - Production and Pipelines
Norfolk Southern,NSC,"$50,634",NYSE,United States,Transportation,Transportation - Rail
Aflac,AFL,"$50,112",NYSE,United States,Finance,Insurance - Accident & Health
Simon Property,SPG,"$49,922",NYSE,United States,Finance,REIT - Retail Equity Trusts
VALE S.A,VALE,"$49,852",NYSE,Brazil,Basic Materials,Iron Miners
American,AIG,"$49,563",NYSE,United States,Finance,Multi-Line Insurance Providers
Truist Financial,TFC,"$49,255",NYSE,United States,Finance,Banks - Major Regional
MetLife,MET,"$49,082",NYSE,United States,Finance,Multi-Line Insurance Providers
Suncor Energy,SU,"$48,939",NYSE,Canada,Oils/Energy,Oil & Gas - Canadian Integrated
GE Vernova,GEV,"$48,656",NYSE,United States,Oils/Energy,Other Alternate Energy
Ross Stores,ROST,"$48,616",NASDAQ,United States,Retail/Wholesale,Retail - Discount & Variety
Valero Energy,VLO,"$48,520",NYSE,United States,Oils/Energy,Oil Refining & Marketing
Public Storage,PSA,"$48,454",NYSE,United States,Finance,REIT - Other Equity Trusts
Ford Motor,F,"$48,227",NYSE,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Autodesk,ADSK,"$48,172",NASDAQ,United States,Computer and Technology,Computer Software
AutoZone,AZO,"$48,138",NYSE,United States,Retail/Wholesale,Retail & Wholesale Auto Parts
Johnson Controls,JCI,"$47,945",NYSE,Ireland,Industrial Products,Protection - Safety Equipment & Services
Trade Desk,TTD,"$47,670",NASDAQ,United States,Computer and Technology,Internet Services
Sempra Energy,SRE,"$47,670",NYSE,United States,Utilities,Utility - Natural Gas Distribution
Travelers,TRV,"$47,461",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
D.R Horton,DHI,"$47,332",NYSE,United States,Construction,Building - Residential and Commercial
Newmont,NEM,"$47,267",NYSE,United States,Basic Materials,Mining - Miscellaneous
DoorDash,DASH,"$47,046",NASDAQ,United States,Computer and Technology,Internet Services
